
2025/02/28 (16:29:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/28 (16:29:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/02 (21:16:05) | ===> btop++ v.1.4.0
2025/03/02 (21:16:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/02 (21:16:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/02 (21:42:46) | ===> btop++ v.1.4.0
2025/03/02 (21:42:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/02 (21:42:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/05 (09:53:22) | ===> btop++ v.1.4.0
2025/03/05 (09:53:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/05 (09:53:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/05 (18:47:47) | ===> btop++ v.1.4.0
2025/03/05 (18:47:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/05 (18:47:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (20:54:45) | ===> btop++ v.1.4.0
2025/03/06 (20:54:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (20:54:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/08 (15:46:00) | ===> btop++ v.1.4.0
2025/03/08 (15:46:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/08 (15:46:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/27 (08:56:59) | ===> btop++ v.1.4.0
2025/03/27 (08:56:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/27 (08:56:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/27 (08:57:19) | ===> btop++ v.1.4.0
2025/03/27 (08:57:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/27 (08:57:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/27 (10:35:32) | ===> btop++ v.1.4.0
2025/03/27 (10:35:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/27 (10:35:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/31 (13:03:30) | ===> btop++ v.1.4.0
2025/03/31 (13:03:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/31 (13:03:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/01 (21:23:47) | ===> btop++ v.1.4.0
2025/04/01 (21:23:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/01 (21:23:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/07 (11:30:40) | ===> btop++ v.1.4.0
2025/04/07 (11:30:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/07 (11:30:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/07 (11:35:23) | ===> btop++ v.1.4.0
2025/04/07 (11:35:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/07 (11:35:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/08 (09:10:08) | ===> btop++ v.1.4.0
2025/04/08 (09:10:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
